annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2012;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Économie>Sciences économiques;DEG;Droit, économie et gestion;disc03;Économie;disc03;Sciences économiques;1364;89;82;55;42;77;97;1990;31000;1600;2400;32;54;10.1;1830;SD38;1460;2230;disc03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Économie>Sciences économiques;DEG;Droit, économie et gestion;disc03;Économie;disc03;Sciences économiques;;83;74;;43;60;95;1710;26700;1460;2120;;;10.1;1830;SD38;1460;2230;disc03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Économie>Sciences économiques;DEG;Droit, économie et gestion;disc03;Économie;disc03;Sciences économiques;;87;80;51;43;75;96;1830;28600;1520;2300;;;10.1;1830;SD38;1460;2230;disc03_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Économie>Sciences économiques;DEG;Droit, économie et gestion;disc03;Économie;disc03;Sciences économiques;816;92;86;59;43;68;96;2050;32000;1690;2450;31;;7.8;1900;SD38;1470;2330;disc03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Économie>Sciences économiques;DEG;Droit, économie et gestion;disc03;Économie;disc03;Sciences économiques;1368;85;78;51;39;61;95;1900;29600;1530;2230;28;54;9.9;1870;SD38;1490;2280;disc03_18;2;3;59;;0;29;1;4;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;7;46;2;25;1;1;18
2015;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;2986;94;90;70;45;87;99;2280;35500;1900;2670;20;;8.6;1865;SD39;1475;2280;disc04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;6990;92;87;61;43;75;98;2000;31200;1670;2330;22;56;8.5;1830;SD39;1450;2180;disc04_18;2;1;72;;0;19;0;3;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;59;1;25;1;0;12
2016;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;3020;95;92;74;44;89;99;2300;35900;1950;2700;20;;8.5;1830;SD39;1450;2180;disc04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;3970;94;89;61;42;85;98;2020;31500;1750;2440;23;;8.5;1830;SD39;1450;2180;disc04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Sciences de gestion;DEG;Droit, économie et gestion;disc04;Gestion;disc04;Sciences de gestion;;93;87;65;48;85;99;2170;33800;1810;2570;;;10.1;1830;SD39;1460;2230;disc04_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
